gene_id	gene_rci	n_iso	iso_rci_min	iso_rci_max	spans_both	masked	is_compartment_switcher
ENSG00000130600	0.7826082597219184	11	-3.9846992769391023	8.271276259175925	True	True	False
ENSG00000163597	1.3012841428279178	8	-5.852563433219161	1.9653715749817051	True	False	True
ENSG00000168405	-2.543966720386807	8	-3.980547637333827	-0.8960490359610916	False	False	False
ENSG00000170846	0.08227768412997488	4	-1.456923310197471	0.8557780705265612	True	True	True
ENSG00000170919	-2.1024759008994973	21	-6.651051691178928	0.8018336943434408	True	False	False
ENSG00000174365	-1.6345846957988106	15	-7.515651372028073	2.8012804076479196	True	False	True
ENSG00000175061	0.9677745366812228	28	-10.321526451756924	6.977279923499917	True	True	False
ENSG00000176728	-0.7306793313187747	2	-7.46352437327118	-0.9587773372734868	False	False	False
ENSG00000177335	-1.5787947832592581	6	-7.672425341971495	4.041476635976159	True	False	True
ENSG00000177337	-1.2545849339188104	6	-1.9946677152700536	8.661778097771988	True	False	True
ENSG00000177410	0.7766833952095672	10	-4.168424092443712	1.979593789338163	True	True	False
ENSG00000177738	0.15176764924240807	3	0.1896409689850087	0.8286270661178772	False	False	False
ENSG00000179818	-2.145421019592924	58	-7.588714635582264	7.558420713268664	True	False	False
ENSG00000182165	0.9530835490198006	7	-2.5767359314160716	8.487840033823051	True	True	False
ENSG00000185837	-1.0669891525179604	2	-4.0	-0.4089629848691596	False	False	False
ENSG00000186594	-2.556496289451982	15	-5.164791009113059	1.502119521694903	True	False	True
ENSG00000186615	-0.3890042534453214	4	-7.654636028527968	-0.0453899721894376	False	False	False
ENSG00000189223	-1.8207046462185177	14	-5.458969450507034	1.8236567343867047	True	False	False
ENSG00000196295	-3.103292342686474	27	-10.605479518061667	-1.4839814822095918	False	False	False
ENSG00000197182	-4.164731580957896	3	-6.558845848100351	-1.7734472299438182	False	False	False
ENSG00000197989	-2.272366432822775	16	-5.66558239257947	-0.10785202756392	False	False	False
ENSG00000198468	0.8901767220472486	3	-1.7013001980203106	1.2594188934093518	True	True	True
ENSG00000203875	1.5261269905390784	15	-5.308615733342162	8.649256177517314	True	False	False
ENSG00000203930	0.6456252383767175	10	-7.894817763307944	6.741466986401147	True	True	True
ENSG00000213742	-1.5734668618833267	4	-3.992539147030162	-1.0394323716476066	False	False	False
ENSG00000214106	-0.6523707340903181	4	-2.477174694799902	0.6520766965796931	True	True	True
ENSG00000214293	-0.8428514702743136	3	-2.599446746490994	-0.6060193129734087	False	False	False
ENSG00000214548	-5.665423184343266	37	-10.19987052210467	-1.6055594053282698	False	False	False
ENSG00000215067	-1.6992666363248214	8	-6.7722511211016885	6.870364719583405	True	False	True
ENSG00000215068	-2.524873884938562	5	-4.996040762925638	0.01894156365346	True	False	True
ENSG00000215256	0.9609512735783213	5	-2.5528315380690865	1.8582497845185957	True	True	False
