gid	gene_name	tissueA	tissueB	dom_isoform_A	dom_isoform_B	rci_a	rci_b	delta_rci	agree_a	agree_b	ncl_a	ncl_b	gene_masked
ENSG00000274265	CH17-189H20.1	Brain - Cerebellar Hemisphere	Heart - Atrial Appendage	ENST00000619653.1	ENST00000611769.4	-5.146047899424372	1.419713986488317	6.565761885912689	1.0	1.0	5.0	9.0	True
ENSG00000235954	TTC28-AS1	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	ENST00000454741.5	ENST00000454996.5	-4.132117963798845	1.3428877135230084	5.475005677321853	1.0	1.0	12.0	3.0	False
ENSG00000232527	RP11-14N7.2	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	ENST00000457390.1	ENST00000452399.5	-3.8610869059953936	1.2102148236021677	5.071301729597561	1.0	1.0	3.0	10.0	False
ENSG00000186594	MIR22HG	Cells - Cultured fibroblasts	Heart - Left Ventricle	ENST00000334146.7	ENST00000574306.1	1.502119521694903	-3.487265826834023	-4.989385348528926	0.8333333333333334	1.0	6.0	15.0	False
ENSG00000234608	MAPKAPK5-AS1	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	ENST00000442119.5	ENST00000456429.5	1.2505924271516755	-3.734188509495632	-4.984780936647308	0.8	1.0	15.0	5.0	True
ENSG00000215067	ALOX12-AS1	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	ENST00000399541.6	ENST00000399540.2	2.2441259432837293	-2.228687827867927	-4.472813771151657	1.0	0.9333333333333332	5.0	15.0	False
ENSG00000283633	AC005301.9	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	ENST00000588548.1	ENST00000592107.5	-3.636993203481372	0.8097838136807641	4.446777017162137	1.0	1.0	3.0	3.0	True
ENSG00000177337	DLGAP1-AS1	Heart - Atrial Appendage	Heart - Left Ventricle	ENST00000317114.1	ENST00000574411.5	-1.9946677152700536	1.625834782136684	3.6205024974067377	1.0	1.0	13.0	7.0	False
ENSG00000234456	MAGI2-AS3	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	ENST00000452320.3	ENST00000414797.5	-1.9142306049550368	1.159440515708526	3.0736711206635627	1.0	0.8571428571428571	7.0	7.0	True
