experiment	biosample	cell_line	file	href	assembly	genome_annotation	fraction
ENCSR000CPA	Homo sapiens endothelial cell of umbilical vein cytosolic fraction newborn	endothelial cell of umbilical vein	ENCFF349GKJ	https://www.encodeproject.org/files/ENCFF349GKJ/@@download/ENCFF349GKJ.tsv	GRCh38	V29	cytoplasm
ENCSR000CPA	Homo sapiens endothelial cell of umbilical vein cytosolic fraction newborn	endothelial cell of umbilical vein	ENCFF188LTD	https://www.encodeproject.org/files/ENCFF188LTD/@@download/ENCFF188LTD.tsv	GRCh38	V29	cytoplasm
ENCSR000COK	Homo sapiens K562 cytosolic fraction	K562	ENCFF617IZX	https://www.encodeproject.org/files/ENCFF617IZX/@@download/ENCFF617IZX.tsv	GRCh38	V29	cytoplasm
ENCSR000COK	Homo sapiens K562 cytosolic fraction	K562	ENCFF978TLD	https://www.encodeproject.org/files/ENCFF978TLD/@@download/ENCFF978TLD.tsv	GRCh38	V29	cytoplasm
ENCSR000COK	Homo sapiens K562 cytosolic fraction	K562	ENCFF024EIQ	https://www.encodeproject.org/files/ENCFF024EIQ/@@download/ENCFF024EIQ.tsv	GRCh38	V29	cytoplasm
ENCSR000COK	Homo sapiens K562 cytosolic fraction	K562	ENCFF505OOJ	https://www.encodeproject.org/files/ENCFF505OOJ/@@download/ENCFF505OOJ.tsv	GRCh38	V29	cytoplasm
ENCSR586SEE	Homo sapiens NCI-H460 cytosolic fraction	NCI-H460	ENCFF968RHT	https://www.encodeproject.org/files/ENCFF968RHT/@@download/ENCFF968RHT.tsv	GRCh38	V29	cytoplasm
ENCSR586SEE	Homo sapiens NCI-H460 cytosolic fraction	NCI-H460	ENCFF260VDZ	https://www.encodeproject.org/files/ENCFF260VDZ/@@download/ENCFF260VDZ.tsv	GRCh38	V29	cytoplasm
ENCSR384ZXD	Homo sapiens K562 cytosolic fraction	K562	ENCFF523KJW	https://www.encodeproject.org/files/ENCFF523KJW/@@download/ENCFF523KJW.tsv	GRCh38	V29	cytoplasm
ENCSR384ZXD	Homo sapiens K562 cytosolic fraction	K562	ENCFF707OXP	https://www.encodeproject.org/files/ENCFF707OXP/@@download/ENCFF707OXP.tsv	GRCh38	V29	cytoplasm
ENCSR384ZXD	Homo sapiens K562 cytosolic fraction	K562	ENCFF873EVE	https://www.encodeproject.org/files/ENCFF873EVE/@@download/ENCFF873EVE.tsv	GRCh38	V29	cytoplasm
ENCSR384ZXD	Homo sapiens K562 cytosolic fraction	K562	ENCFF758FUJ	https://www.encodeproject.org/files/ENCFF758FUJ/@@download/ENCFF758FUJ.tsv	GRCh38	V29	cytoplasm
